bot,command_id,probe_seq,sent_us,result_us,status,reason_code,reply_us,order,rtt_ms
bot-000,01a0b929-8200-77ee-ba89-0a2d712f2765,0,323223,344566,ACCEPTED,,344627,ok,21.404
bot-000,01a0b929-83f9-7294-8302-bf1580a4dd7a,1,828399,844851,ACCEPTED,,844908,ok,16.509
bot-000,01a0b929-85f0-74e8-a17f-6195c1f297b1,2,1331272,1344589,ACCEPTED,,1344617,ok,13.345
bot-000,01a0b929-87e6-7358-84be-9832916ff4d9,3,1833103,1844387,ACCEPTED,,1844411,ok,11.308
bot-000,01a0b929-89db-7599-b6ea-f2f0c4b93f71,4,2334239,2344474,ACCEPTED,,2344497,ok,10.258
bot-000,01a0b929-8bde-73b1-943b-ba8a8b2e02cf,5,2849184,2894787,ACCEPTED,,2894836,ok,45.652
bot-000,01a0b929-8dd2-74d5-b7f4-9c59481638db,6,3349470,3394394,ACCEPTED,,3394438,ok,44.968
bot-000,01a0b929-8fd6-70a7-9a36-a6dd73fa2adf,7,3865306,3894694,ACCEPTED,,3894740,ok,29.434
bot-000,01a0b929-91cc-72a3-ae2a-3ee9ddac4acd,8,4366735,4394253,ACCEPTED,,4394264,ok,27.529
bot-000,01a0b929-93c3-7135-8fc6-947aa89d1f6c,9,4870298,4894904,ACCEPTED,,4894954,ok,24.656
bot-000,01a0b929-95b7-733e-b52b-d8c0cf26b441,10,5370530,5394350,ACCEPTED,,5394393,ok,23.863
bot-000,01a0b929-97b2-7249-abca-5ff0dc2bc3c4,11,5876688,5894184,ACCEPTED,,5894229,ok,17.541
bot-000,01a0b929-99b4-75fd-96dd-86b1e09a7d3d,12,6391467,6394217,ACCEPTED,,6394241,ok,2.774
bot-000,01a0b929-9bac-73d2-90e3-02cc82c773e8,13,6894747,6944478,ACCEPTED,,6944521,ok,49.774
bot-000,01a0b929-9da5-720a-8714-0dc09b0d81c1,14,7399751,7444454,ACCEPTED,,7444496,ok,44.745
bot-000,01a0b929-9f9c-7391-bb21-c379a4da56e8,15,7903179,7944317,ACCEPTED,,7944362,ok,41.183
bot-000,01a0b929-a194-7226-9cb9-7e7dee45f117,16,8406961,8444671,ACCEPTED,,8444695,ok,37.734
bot-000,01a0b929-a397-711e-95ab-6540f2cc45ab,17,8922478,8944595,ACCEPTED,,8944633,ok,22.155
bot-000,01a0b929-a58f-71b6-bc2e-ad818fe6d62d,18,9426219,9444757,ACCEPTED,,9444800,ok,18.581
bot-000,01a0b929-a785-76be-9d07-18b8fcfe3001,19,9927672,9944715,ACCEPTED,,9944751,ok,17.079
bot-000,01a0b929-a97c-70d0-8874-941f6abedaff,20,10431366,10444670,ACCEPTED,,10444705,ok,13.339
bot-000,01a0b929-ab73-7579-b2d2-fb8e89c935e5,21,10934250,10944510,ACCEPTED,,10944553,ok,10.303
bot-000,01a0b929-ad6f-73c8-9bee-e86f22cd5241,22,11441762,11444501,ACCEPTED,,11444521,ok,2.759
bot-000,01a0b929-af65-7382-a3ed-c6d78db4c9d3,23,11944392,11994687,ACCEPTED,,11994736,ok,50.344
bot-000,01a0b929-b15f-733e-a257-ce7921ff4b24,24,12450508,12494409,ACCEPTED,,12494462,ok,43.954
bot-000,01a0b929-b355-734a-b097-7274513b119b,25,12952128,12997438,ACCEPTED,,12997654,ok,45.526
bot-000,01a0b929-b556-70da-b438-02406064a765,26,13464628,13494437,ACCEPTED,,13494485,ok,29.857
bot-000,01a0b929-b758-71e6-ad7a-a3308e7e8821,27,13979423,13995219,ACCEPTED,,13995252,ok,15.829
bot-000,01a0b929-b95b-70b7-b222-d14fdc97171f,28,14494385,14544683,ACCEPTED,,14544713,ok,50.328
bot-000,01a0b929-bb52-712b-835a-028b6d540bdb,29,14997495,15044300,ACCEPTED,,15044350,ok,46.855
bot-000,01a0b929-bd56-7203-bd83-0f6e1c4cb365,30,15512981,15544420,ACCEPTED,,15544471,ok,31.490
bot-000,01a0b929-bf53-75c4-b9fb-6d1c08e2b33b,31,16021841,16044225,ACCEPTED,,16044285,ok,22.444
bot-000,01a0b929-c155-77e8-b041-b94195dff990,32,16536506,16544614,ACCEPTED,,16544656,ok,8.150
bot-000,01a0b929-c34c-7224-bb0f-45483ca0188b,33,17039544,17044357,ACCEPTED,,17044395,ok,4.851
bot-000,01a0b929-c54f-76ff-94a1-62b06bb8dc4d,34,17554279,17594686,ACCEPTED,,17594715,ok,40.436
bot-000,01a0b929-c748-73a7-b312-ba1ed4f5b456,35,18058607,18094567,ACCEPTED,,18094615,ok,36.008
bot-000,01a0b929-c93d-73a3-aac8-6aa259642794,36,18560441,18594636,ACCEPTED,,18594688,ok,34.247
bot-000,01a0b929-cb33-70b1-8e04-51d0f826589c,37,19062362,19094500,ACCEPTED,,19094542,ok,32.180
bot-000,01a0b929-cd37-7633-96e1-8b643ab64fba,38,19577601,19594676,ACCEPTED,,19594722,ok,17.121
bot-000,01a0b929-cf3a-7079-9843-a2cf255c5c1c,39,20092735,20094306,ACCEPTED,,20094348,ok,1.613
bot-000,01a0b929-d131-7492-a736-efa40a494063,40,20596242,20644414,ACCEPTED,,20644472,ok,48.230
bot-000,01a0b929-d326-73a0-a805-79dad0940d3a,41,21097451,21144512,ACCEPTED,,21144547,ok,47.096
bot-000,01a0b929-d521-763d-8c54-f7e997ec5dec,42,21603896,21644600,ACCEPTED,,21644632,ok,40.736
bot-000,01a0b929-d722-7784-abcc-d05d6c823a53,43,22117274,22144650,ACCEPTED,,22144704,ok,27.430
bot-000,01a0b929-d91a-77bf-b317-d72fa994dfbf,44,22621460,22644487,ACCEPTED,,22644524,ok,23.064
bot-000,01a0b929-db1e-733b-a074-0b25af624ad7,45,23137475,23144472,ACCEPTED,,23144524,ok,7.049
bot-000,01a0b929-dd17-7095-9113-7b40fa6a15c7,46,23641574,23644167,ACCEPTED,,23644205,ok,2.631
bot-000,01a0b929-df1b-7208-af87-56c0cd946da8,47,24157671,24194619,ACCEPTED,,24194664,ok,36.993
bot-000,01a0b929-e111-713c-aecc-5a4121609cdb,48,24660016,24694806,ACCEPTED,,24694838,ok,34.822
bot-000,01a0b929-e308-72c3-879a-381f30cd524f,49,25163307,25194768,ACCEPTED,,25194833,ok,31.526
bot-000,01a0b929-e50b-76ac-936a-228961b2562c,50,25678150,25694425,ACCEPTED,,25694479,ok,16.329
bot-000,01a0b929-e701-7195-8e81-a2f7503e86fe,51,26179794,26194366,ACCEPTED,,26194424,ok,14.630
bot-000,01a0b929-e8fc-70d1-804e-35c404f19dd4,52,26687191,26694212,ACCEPTED,,26694243,ok,7.052
bot-000,01a0b929-eaf6-73fb-84d8-cc38d9b83897,53,27193081,27194759,ACCEPTED,,27194787,ok,1.706
bot-000,01a0b929-ecee-7582-95b9-fd7f6071f1ce,54,27696927,27744440,ACCEPTED,,27744474,ok,47.547
bot-000,01a0b929-eee4-73ce-9430-0c535809f02e,55,28198996,28244578,ACCEPTED,,28244613,ok,45.617
bot-000,01a0b929-f0db-762a-93b2-5949909a3a6e,56,28702048,28744474,ACCEPTED,,28744523,ok,42.475
bot-000,01a0b929-f2d3-75d9-9576-5072c1bd48a7,57,29205737,29244614,ACCEPTED,,29244679,ok,38.942
bot-000,01a0b929-f4cb-77ea-b8d5-b8d8de0b761f,58,29710487,29744442,ACCEPTED,,29744492,ok,34.005
bot-000,01a0b929-f6c6-72d9-81ff-02c4d18b9c1d,59,30217174,30244561,ACCEPTED,,30244635,ok,27.461
bot-000,01a0b929-f8c8-7160-baac-473ac5063fda,60,30731460,30744761,ACCEPTED,,30744793,ok,13.333
bot-000,01a0b929-faca-703d-b88c-ff94e73f3664,61,31244805,31294609,ACCEPTED,,31294638,ok,49.833
bot-000,01a0b929-fcc0-762e-8483-cefa760da265,62,31747164,31794857,ACCEPTED,,31794887,ok,47.723
bot-000,01a0b929-feb7-70f7-8094-54e39df2f6cc,63,32249927,32294616,ACCEPTED,,32294657,ok,44.730
bot-000,01a0b92a-00b3-77a5-9a4f-33478f9c87bf,64,32758134,32794606,ACCEPTED,,32794659,ok,36.525
bot-000,01a0b92a-02b5-747a-918b-86b754483b42,65,33271939,33294679,ACCEPTED,,33294733,ok,22.794
bot-000,01a0b92a-04ab-71d9-bd90-bbb61c19968c,66,33773869,33794670,ACCEPTED,,33794720,ok,20.851
bot-000,01a0b92a-06a1-7244-975e-3f43715269a7,67,34276510,34294435,ACCEPTED,,34294464,ok,17.954
bot-000,01a0b92a-0898-77ff-95c2-d490c63f0d68,68,34779268,34794626,ACCEPTED,,34794685,ok,15.417
bot-000,01a0b92a-0a9b-75d4-8585-d5aa9e0eb91d,69,35294106,35294611,ACCEPTED,,35294658,ok,0.552
bot-000,01a0b92a-0c91-703f-83ed-9f7608f24925,70,35795817,35844758,ACCEPTED,,35844787,ok,48.970
bot-000,01a0b92a-0e87-7203-908b-3ced321b0a3b,71,36298118,36344378,ACCEPTED,,36344432,ok,46.314
bot-000,01a0b92a-1081-72b4-b03e-80b5e9e1f18d,72,36803716,36844187,ACCEPTED,,36844257,ok,40.541
bot-000,01a0b92a-1282-77e4-8b61-27676e3509ed,73,37317192,37344607,ACCEPTED,,37344641,ok,27.449
bot-000,01a0b92a-1478-70a2-9d5c-9ce3965a7894,74,37819449,37844623,ACCEPTED,,37844665,ok,25.216
bot-000,01a0b92a-167c-707d-af8d-93877a63a96a,75,38334757,38344222,ACCEPTED,,38344264,ok,9.507
bot-000,01a0b92a-1873-7149-9ed1-c20daf44027f,76,38838300,38844241,ACCEPTED,,38844282,ok,5.982
bot-000,01a0b92a-1a6a-73c5-85ee-aa26a99f07a6,77,39340563,39344345,ACCEPTED,,39344383,ok,3.820
bot-000,01a0b92a-1c64-73d4-b4fc-0164f2214c26,78,39847300,39894632,ACCEPTED,,39894649,ok,47.349
bot-000,01a0b92a-1e5a-709e-ade0-57e233e283fd,79,40348682,40394632,ACCEPTED,,40394667,ok,45.985
bot-000,01a0b92a-2055-76ca-9419-90284fe8984a,80,40856108,40894596,ACCEPTED,,40894631,ok,38.523
bot-000,01a0b92a-224d-71e9-a955-b63c4df63101,81,41360399,41394843,ACCEPTED,,41394876,ok,34.477
bot-000,01a0b92a-2445-76fb-a034-b241b923e575,82,41864423,41894636,ACCEPTED,,41894690,ok,30.267
bot-000,01a0b92a-264a-731c-b230-a76c55dc90dc,83,42381210,42394537,ACCEPTED,,42394588,ok,13.378
bot-000,01a0b92a-283f-7052-9805-3589133c4bcd,84,42881965,42894358,ACCEPTED,,42894384,ok,12.419
bot-000,01a0b92a-2a40-7308-907a-55e1ab099bb5,85,43394981,43444841,ACCEPTED,,43444865,ok,49.884
bot-000,01a0b92a-2c39-7461-b60d-b8eabd52912f,86,43899775,43944832,ACCEPTED,,43944873,ok,45.098
bot-000,01a0b92a-2e35-7199-b306-ca2bb7afed99,87,44408209,44444556,ACCEPTED,,44444581,ok,36.372
bot-000,01a0b92a-3033-7287-b280-82c3d1b03aae,88,44917873,44944274,ACCEPTED,,44944321,ok,26.448
bot-000,01a0b92a-3235-747e-8462-6c0197f1ef2e,89,45432306,45444468,ACCEPTED,,45444518,ok,12.212
bot-000,01a0b92a-343a-73d0-9c62-c666dd25e52e,90,45948714,45994895,ACCEPTED,,45994910,ok,46.196
bot-000,01a0b92a-363d-725f-baa1-b7e62d372e99,91,46463635,46495071,ACCEPTED,,46495100,ok,31.465
bot-000,01a0b92a-3837-713e-a55b-025ed0ede36b,92,46969974,46994252,ACCEPTED,,46994285,ok,24.311
bot-000,01a0b92a-3a39-724d-977f-81cfd1ba0358,93,47483830,47494600,ACCEPTED,,47494621,ok,10.791
bot-000,01a0b92a-3c32-7615-b14e-d031a55199b7,94,47988702,47994799,ACCEPTED,,47994821,ok,6.119
bot-000,01a0b92a-3e29-727a-b60a-cc791ddca3a7,95,48492273,48494336,ACCEPTED,,48494366,ok,2.093
bot-000,01a0b92a-402a-737b-8cd1-3692af068362,96,49004628,49044406,ACCEPTED,,49044469,ok,39.841
bot-000,01a0b92a-422e-760f-a00d-f060a9d33ba3,97,49520865,49545047,ACCEPTED,,49545063,ok,24.198
bot-000,01a0b92a-442a-71bf-a150-2255cd8ba674,98,50029216,50044676,ACCEPTED,,50044690,ok,15.474
bot-000,01a0b92a-4627-7220-bbfa-41384ffee7c7,99,50537629,50544510,ACCEPTED,,50544529,ok,6.900
bot-000,01a0b92a-481f-747c-8bf3-8b5a53227bfc,100,51042327,51044616,ACCEPTED,,51044642,ok,2.315
bot-000,01a0b92a-4a16-77eb-ab37-821f27568f1c,101,51545524,51594509,ACCEPTED,,51594525,ok,49.001
bot-000,01a0b92a-4c0e-7063-bb2a-57ef790389d1,102,52049457,52094908,ACCEPTED,,52094942,ok,45.485
bot-000,01a0b92a-4e08-725b-a8b2-9760b491136b,103,52554686,52594432,ACCEPTED,,52594489,ok,39.803
bot-000,01a0b92a-4fff-716c-8d0f-fd378b4ad22f,104,53058367,53094719,ACCEPTED,,53094744,ok,36.377
bot-000,01a0b92a-51f6-75ed-ab62-b83a5097165f,105,53561077,53594577,ACCEPTED,,53594598,ok,33.521
bot-000,01a0b92a-53ed-743a-9a83-f8c956c3d858,106,54064451,54094674,ACCEPTED,,54094700,ok,30.249
bot-000,01a0b92a-55f0-7663-a76f-e00008c07a17,107,54579447,54594719,ACCEPTED,,54594734,ok,15.287
bot-000,01a0b92a-57e7-712d-9a11-c6675d11ed20,108,55082141,55094758,ACCEPTED,,55094792,ok,12.651
bot-000,01a0b92a-59dd-724b-8d66-3df324b3d5ee,109,55584178,55594574,ACCEPTED,,55594590,ok,10.412
bot-000,01a0b92a-5bd5-75c5-b8ee-08d7623d9d07,110,56087805,56094726,ACCEPTED,,56094740,ok,6.935
bot-000,01a0b92a-5dcb-7304-976b-4de990a6b75c,111,56590372,56594814,ACCEPTED,,56594837,ok,4.465
bot-000,01a0b92a-5fc1-739c-b708-3aa3f4cfc07c,112,57091790,57094694,ACCEPTED,,57094708,ok,2.918
bot-000,01a0b92a-61b7-705e-bbe2-2e39eb55c462,113,57594386,57644684,ACCEPTED,,57644696,ok,50.310
bot-000,01a0b92a-63af-73ce-bd97-9a93829d7899,114,58097721,58144857,ACCEPTED,,58144872,ok,47.151
bot-000,01a0b92a-65a7-7237-94e1-837b6e5f9873,115,58601889,58644666,ACCEPTED,,58644677,ok,42.788
bot-000,01a0b92a-679d-7111-83b1-65efb8152058,116,59104251,59144628,ACCEPTED,,59144656,ok,40.405
bot-000,01a0b92a-6995-74fa-85b0-adaa7cd7c978,117,59607608,59644641,ACCEPTED,,59644660,ok,37.052
bot-000,01a0b92a-6b8a-721a-bca7-a7c4cfe5a86c,118,60108817,60144538,ACCEPTED,,60144571,ok,35.754
bot-001,01a0b929-8313-70b5-871d-58581d8e044b,0,598448,644517,ACCEPTED,,644566,ok,46.118
bot-001,01a0b929-850b-7341-9c6f-f5bf54e317dc,1,1101826,1144705,ACCEPTED,,1144842,ok,43.016
bot-001,01a0b929-8703-7722-9224-85fe55eb6e3c,2,1606490,1644490,ACCEPTED,,1644527,ok,38.037
bot-001,01a0b929-8907-77e0-bec1-fcc5a5bbf8e4,3,2122131,2144489,ACCEPTED,,2144520,ok,22.389
bot-001,01a0b929-8afc-7714-abab-854fdca1fc78,4,2623511,2644704,ACCEPTED,,2644745,ok,21.234
bot-001,01a0b929-8cff-73f6-8944-a831e730b4f6,5,3137953,3144286,ACCEPTED,,3144327,ok,6.374
bot-001,01a0b929-8f03-7129-9956-db27600993ff,6,3653712,3694641,ACCEPTED,,3694706,ok,40.994
bot-001,01a0b929-90f8-71be-941f-62ccfc0f668d,7,4154822,4194469,ACCEPTED,,4194519,ok,39.697
bot-001,01a0b929-92ee-731a-a9e2-797d3f8846eb,8,4656671,4694357,ACCEPTED,,4694411,ok,37.740
bot-001,01a0b929-94f1-73dd-91ec-d3ad6aac1a88,9,5171890,5194363,ACCEPTED,,5194412,ok,22.522
bot-001,01a0b929-96e8-726c-8671-8797af4a9da0,10,5675234,5694582,ACCEPTED,,5694625,ok,19.391
bot-001,01a0b929-98e0-768d-ab16-ca37fa5f0bc6,11,6179274,6194343,ACCEPTED,,6194380,ok,15.106
bot-001,01a0b929-9ad9-72b0-9c8c-0d1181a377fb,12,6684226,6694335,ACCEPTED,,6694380,ok,10.154
bot-001,01a0b929-9cce-70bf-a98c-78bffcf0a72a,13,7185460,7194638,ACCEPTED,,7194685,ok,9.225
bot-001,01a0b929-9ec4-7597-8e45-de90bf048709,14,7687187,7694572,ACCEPTED,,7694616,ok,7.429
bot-001,01a0b929-a0be-74bc-b154-3dfb3f8f596c,15,8193235,8194526,ACCEPTED,,8194569,ok,1.334
bot-001,01a0b929-a2b3-766e-96d7-5ace227b137f,16,8694098,8744191,ACCEPTED,,8744236,ok,50.138
bot-001,01a0b929-a4a7-706a-9f81-5a4a3dc3c63c,17,9194459,9244366,ACCEPTED,,9244395,ok,49.936
bot-001,01a0b929-a6a0-713f-8842-3a5c43e4fbec,18,9699311,9744386,ACCEPTED,,9744430,ok,45.119
bot-001,01a0b929-a898-70e6-899b-770f613a215f,19,10203420,10244588,ACCEPTED,,10244648,ok,41.228
bot-001,01a0b929-aa90-7131-9dea-1de88b4f2d06,20,10707083,10744342,ACCEPTED,,10744395,ok,37.312
bot-001,01a0b929-ac8a-7753-bec3-090ec1d68b28,21,11213214,11244345,ACCEPTED,,11244388,ok,31.174
bot-001,01a0b929-ae83-7713-9896-5a2630f0faee,22,11718095,11744282,ACCEPTED,,11744337,ok,26.242
bot-001,01a0b929-b07c-74f9-9803-5b17ccb48966,23,12223423,12245119,ACCEPTED,,12245152,ok,21.729
bot-001,01a0b929-b27f-77b9-8998-530301c1dcb5,24,12737827,12744420,ACCEPTED,,12744448,ok,6.621
bot-001,01a0b929-b480-7061-8e11-f57a0784c5f9,25,13250981,13294838,ACCEPTED,,13294892,ok,43.911
bot-001,01a0b929-b676-743e-accb-d070e4047074,26,13752645,13794658,ACCEPTED,,13794698,ok,42.053
bot-001,01a0b929-b877-76fc-ba76-246ad53d015b,27,14266511,14294711,ACCEPTED,,14294768,ok,28.257
bot-001,01a0b929-ba7a-734a-8fd1-873a9b02a226,28,14781548,14794421,ACCEPTED,,14794461,ok,12.913
bot-001,01a0b929-bc70-76e4-a023-2fe96da4e0d8,29,15283073,15294538,ACCEPTED,,15294564,ok,11.491
bot-001,01a0b929-be6c-76d0-905c-53cf55ff0b05,30,15790644,15794198,ACCEPTED,,15794250,ok,3.606
bot-001,01a0b929-c064-7644-ae6b-d2923fae1e33,31,16294597,16344307,ACCEPTED,,16344341,ok,49.744
bot-001,01a0b929-c267-72dc-aec4-49b779e5890d,32,16810228,16844354,ACCEPTED,,16844372,ok,34.144
bot-001,01a0b929-c45e-719a-b61e-64a3d8089c3b,33,17313005,17344496,ACCEPTED,,17344530,ok,31.525
bot-001,01a0b929-c661-773a-9e33-3ea0ed13db66,34,17827621,17844808,ACCEPTED,,17844841,ok,17.220
bot-001,01a0b929-c85a-71ca-975a-993c58decfdf,35,18333078,18344217,ACCEPTED,,18344266,ok,11.188
bot-001,01a0b929-ca50-749c-ba77-fd16ad44be4e,36,18834708,18844261,ACCEPTED,,18844308,ok,9.600
bot-001,01a0b929-cc54-705a-909d-56f4b8ed60fe,37,19350758,19394526,ACCEPTED,,19394547,ok,43.789
bot-001,01a0b929-ce54-71f5-9c14-d8af29555103,38,19863276,19894650,ACCEPTED,,19894705,ok,31.429
bot-001,01a0b929-d04c-7065-8d6f-a7863c175ef3,39,20366679,20394447,ACCEPTED,,20394468,ok,27.789
bot-001,01a0b929-d246-753b-91bd-e7d047371844,40,20873023,20894569,ACCEPTED,,20894588,ok,21.565
bot-001,01a0b929-d446-70d8-8d53-07bdf856315e,41,21385311,21394604,ACCEPTED,,21394651,ok,9.340
bot-001,01a0b929-d642-706f-9a6d-bdcad730ec0b,42,21893283,21894678,ACCEPTED,,21894696,ok,1.413
bot-001,01a0b929-d847-7643-b4e2-807f74756123,43,22410228,22444474,ACCEPTED,,22444513,ok,34.285
bot-001,01a0b929-da3e-7591-bb5f-196049ca75e3,44,22912662,22944563,ACCEPTED,,22944582,ok,31.920
bot-001,01a0b929-dc3f-75b3-a683-1435a7753a40,45,23425809,23444483,ACCEPTED,,23444508,ok,18.699
bot-001,01a0b929-de37-713b-a0bf-02b921d2c47d,46,23930368,23944705,ACCEPTED,,23944731,ok,14.363
bot-001,01a0b929-e02d-742a-9f16-4792377d7a1c,47,24431779,24444742,ACCEPTED,,24444770,ok,12.991
bot-001,01a0b929-e225-7148-b99a-54757dd06a15,48,24936080,24944424,ACCEPTED,,24944458,ok,8.378
bot-001,01a0b929-e421-7644-9f2c-f154bf57c1c0,49,25444557,25494746,ACCEPTED,,25494791,ok,50.234
bot-001,01a0b929-e61e-713f-9976-c3dedb46bdab,50,25953156,25994454,ACCEPTED,,25994501,ok,41.345
bot-001,01a0b929-e817-770b-9b1e-7f676788e6f3,51,26457649,26494678,ACCEPTED,,26494726,ok,37.077
bot-001,01a0b929-ea11-72a8-979f-71c84628b989,52,26964230,26994822,ACCEPTED,,26994848,ok,30.618
bot-001,01a0b929-ec09-7445-8bc4-b6ec3bb5d904,53,27467950,27494444,ACCEPTED,,27494464,ok,26.514
bot-001,01a0b929-edff-7268-936a-388d0655fb19,54,27970464,27994486,ACCEPTED,,27994505,ok,24.041
bot-001,01a0b929-eff7-7103-938e-4000d1bee4ef,55,28473665,28494562,ACCEPTED,,28494589,ok,20.924
bot-001,01a0b929-f1ef-7548-ac6c-ef57c4195142,56,28978252,28994727,ACCEPTED,,28994749,ok,16.497
bot-001,01a0b929-f3e6-71bd-808b-3ea8d1a9c387,57,29481392,29494740,ACCEPTED,,29494770,ok,13.378
bot-001,01a0b929-f5e1-74ba-84f4-1597db20cf42,58,29987885,29994708,ACCEPTED,,29994741,ok,6.856
bot-001,01a0b929-f7db-771c-b000-43f2a983c638,59,30494399,30544696,ACCEPTED,,30544745,ok,50.346
bot-001,01a0b929-f9d8-7490-8a8d-379a13ee9f1d,60,31003286,31044741,ACCEPTED,,31044796,ok,41.510
bot-001,01a0b929-fbce-7268-9113-39df4fbb55f4,61,31505138,31544308,ACCEPTED,,31544352,ok,39.214
bot-001,01a0b929-fdc3-7358-a47d-997c8ed899d5,62,32006435,32044564,ACCEPTED,,32044592,ok,38.157
bot-001,01a0b929-ffbf-7658-b2fc-8079daca4b53,63,32514213,32544607,ACCEPTED,,32544634,ok,30.421
bot-001,01a0b92a-01c2-7618-87ed-81c84566196d,64,33028998,33044806,ACCEPTED,,33044828,ok,15.830
bot-001,01a0b92a-03c6-7359-a897-7a66c3245e94,65,33544563,33594386,ACCEPTED,,33594445,ok,49.882
bot-001,01a0b92a-05bc-76cf-8218-71d5889d4e51,66,34047098,34094579,ACCEPTED,,34094610,ok,47.512
bot-001,01a0b92a-07b5-7491-9f7a-a3381c3eaa14,67,34551943,34594393,ACCEPTED,,34594411,ok,42.468
bot-001,01a0b92a-09aa-7059-bfc5-157d7e7104f5,68,35053357,35094544,ACCEPTED,,35094580,ok,41.223
bot-001,01a0b92a-0bac-7600-a011-fcee564806b3,69,35567166,35594766,ACCEPTED,,35594796,ok,27.630
bot-001,01a0b92a-0da4-7608-81f8-fc865f75acd6,70,36070578,36094692,ACCEPTED,,36094715,ok,24.137
bot-001,01a0b92a-0f9a-7200-8a90-82d202d18306,71,36572939,36594815,ACCEPTED,,36594831,ok,21.892
bot-001,01a0b92a-1191-74b4-8f2b-0e140b618ec7,72,37076359,37094806,ACCEPTED,,37094845,ok,18.486
bot-001,01a0b92a-1395-72b1-8bff-df6e825509ad,73,37591726,37594406,ACCEPTED,,37594430,ok,2.704
bot-001,01a0b92a-1599-7019-ac16-80e8d54f936b,74,38107566,38144866,ACCEPTED,,38144879,ok,37.313
bot-001,01a0b92a-179d-7650-ba06-737a92ccb45b,75,38623654,38644555,ACCEPTED,,38644603,ok,20.949
bot-001,01a0b92a-1993-77a5-be9c-27644ad65f27,76,39126319,39144350,ACCEPTED,,39144382,ok,18.063
bot-001,01a0b92a-1b8e-7224-91fa-ab7dfb7ad11f,77,39632759,39644744,ACCEPTED,,39644771,ok,12.012
bot-001,01a0b92a-1d85-72cb-b9bc-41eb8f78b0d9,78,40135694,40144617,ACCEPTED,,40144661,ok,8.967
bot-001,01a0b92a-1f7c-7516-b586-c7d587c938e5,79,40638676,40644791,ACCEPTED,,40644811,ok,6.135
bot-001,01a0b92a-2176-7027-ae55-763018a0eda5,80,41144663,41194515,ACCEPTED,,41194567,ok,49.904
bot-001,01a0b92a-236f-7260-819d-29f6ba2c8bcc,81,41650116,41694333,ACCEPTED,,41694363,ok,44.247
bot-001,01a0b92a-2565-7617-86d1-fa2b937660c8,82,42151990,42194650,ACCEPTED,,42194707,ok,42.717
bot-001,01a0b92a-275b-7617-a3a2-ef05b6dba81b,83,42654290,42694478,ACCEPTED,,42694508,ok,40.218
bot-001,01a0b92a-295c-7069-8bb5-41cc3d87184c,84,43166676,43194909,ACCEPTED,,43194933,ok,28.257
bot-001,01a0b92a-2b52-70aa-bd58-dd6104cc8a5c,85,43668658,43694366,ACCEPTED,,43694388,ok,25.730
bot-001,01a0b92a-2d4d-70e4-a3d8-48348926b84f,86,44175697,44194458,ACCEPTED,,44194515,ok,18.818
bot-001,01a0b92a-2f4f-75b0-9bef-a42025ba7296,87,44689992,44694604,ACCEPTED,,44694660,ok,4.668
bot-001,01a0b92a-3153-7687-aaf4-4f4af8079897,88,45205634,45244796,ACCEPTED,,45244830,ok,39.196
bot-001,01a0b92a-3356-7741-9b1c-7c68f1986868,89,45720966,45744726,ACCEPTED,,45744757,ok,23.791
bot-001,01a0b92a-354c-76e2-9fb9-a7443d91a68b,90,46223504,46244454,ACCEPTED,,46244498,ok,20.994
bot-001,01a0b92a-3750-7149-b78f-53ba4ba91955,91,46739148,46744679,ACCEPTED,,46744701,ok,5.553
bot-001,01a0b92a-3946-717c-b2a2-3b8e34b796a2,92,47240631,47244376,ACCEPTED,,47244396,ok,3.765
bot-001,01a0b92a-3b3c-7079-8e9f-a3f29a9c4937,93,47743137,47744263,ACCEPTED,,47744299,ok,1.162
bot-001,01a0b92a-3d36-700f-90fa-e6ad8e2e9bd6,94,48248724,48294644,ACCEPTED,,48294704,ok,45.980
bot-001,01a0b92a-3f37-728e-89db-64343579527c,95,48762418,48794572,ACCEPTED,,48794591,ok,32.173
bot-001,01a0b92a-413a-73ed-9846-6356936d47fb,96,49277453,49294337,ACCEPTED,,49294389,ok,16.936
bot-001,01a0b92a-4337-7442-8570-1a04215a1549,97,49785941,49794357,ACCEPTED,,49794377,ok,8.436
bot-001,01a0b92a-452d-76c7-8ccc-a8697d61f5eb,98,50288021,50294430,ACCEPTED,,50294455,ok,6.434
bot-001,01a0b92a-472d-70e1-9248-d265d2bf9ab6,99,50799944,50844964,ACCEPTED,,50845021,ok,45.077
bot-001,01a0b92a-4924-70ff-9a42-08f038d5db3b,100,51302682,51344465,ACCEPTED,,51344517,ok,41.835
bot-001,01a0b92a-4b26-76b3-a787-9b1b674dbe82,101,51817502,51844595,ACCEPTED,,51844618,ok,27.116
bot-001,01a0b92a-4d23-7074-9c83-6d388083d352,102,52325629,52344570,ACCEPTED,,52344615,ok,18.986
bot-001,01a0b92a-4f1d-7306-984b-d0d05c7eef3e,103,52832144,52844664,ACCEPTED,,52844676,ok,12.532
bot-001,01a0b92a-5120-7673-bca7-ab72e2bb523c,104,53347145,53395222,ACCEPTED,,53395272,ok,48.127
bot-001,01a0b92a-5319-7239-8e87-93cf8f9be8fe,105,53852322,53894731,ACCEPTED,,53894757,ok,42.435
bot-001,01a0b92a-551c-760a-87f8-7d609173fc1c,106,54367059,54394327,ACCEPTED,,54394350,ok,27.291
